2024-03-25 16:31:40.196 [DEBU] {486735a0c2f4bf1744e14e08a253fbd9} [ 22 ms] [default] [sims] [rows:2  ] SHOW TABLES
2024-03-25 16:39:56.318 [DEBU] {98a2662436f5bf1746234e1d6be1b4c6} [  3 ms] [default] [sims] [rows:2  ] SELECT `ID`,`name`,`user_name`,`phone`,`email` FROM `user`
2024-03-25 16:39:57.836 [DEBU] {08732f7f36f5bf1749234e1d128ba005} [  0 ms] [default] [sims] [rows:2  ] SELECT `ID`,`name`,`user_name`,`phone`,`email` FROM `user`
2024-03-25 16:39:59.488 [DEBU] {70dba1e136f5bf174c234e1d348ab393} [  1 ms] [default] [sims] [rows:2  ] SELECT `ID`,`name`,`user_name`,`phone`,`email` FROM `user`
2024-03-25 16:40:00.071 [DEBU] {e0d3660437f5bf174f234e1d77a7ae5e} [  0 ms] [default] [sims] [rows:2  ] SELECT `ID`,`name`,`user_name`,`phone`,`email` FROM `user`
2024-03-25 16:40:00.621 [DEBU] {c8062b2537f5bf1752234e1d0db8572d} [  1 ms] [default] [sims] [rows:2  ] SELECT `ID`,`name`,`user_name`,`phone`,`email` FROM `user`
2024-03-25 16:40:01.199 [DEBU] {2814694737f5bf1755234e1d9e8bcd69} [  1 ms] [default] [sims] [rows:2  ] SELECT `ID`,`name`,`user_name`,`phone`,`email` FROM `user`
2024-03-25 16:40:03.475 [DEBU] {10ff3fcf37f5bf1758234e1dcb0cc4a1} [  1 ms] [default] [sims] [rows:2  ] SELECT `ID`,`name`,`user_name`,`phone`,`email` FROM `user`
2024-03-25 16:40:04.040 [DEBU] {e053f9f037f5bf175b234e1d4bb75a24} [  0 ms] [default] [sims] [rows:2  ] SELECT `ID`,`name`,`user_name`,`phone`,`email` FROM `user`
2024-03-25 16:42:54.848 [DEBU] {2895abb55ff5bf175e234e1d5377d60a} [  3 ms] [default] [sims] [rows:2  ] SELECT `ID`,`name`,`user_name`,`phone`,`email` FROM `user`
2024-03-25 16:43:01.506 [DEBU] {98dd874261f5bf1761234e1d1d56da9f} [  2 ms] [default] [sims] [rows:2  ] SELECT `ID`,`name`,`user_name`,`phone`,`email` FROM `user`
2024-03-25 16:43:16.640 [DEBU] {802097c864f5bf1764234e1d68b83b56} [  1 ms] [default] [sims] [rows:2  ] SELECT `ID`,`name`,`user_name`,`phone`,`email` FROM `user`
2024-03-25 16:43:20.095 [DEBU] {70dba99665f5bf1767234e1d4a4d4321} [  1 ms] [default] [sims] [rows:2  ] SELECT `ID`,`name`,`user_name`,`phone`,`email` FROM `user`
2024-03-25 16:43:20.837 [DEBU] {0007f9c265f5bf176a234e1da91683b5} [  0 ms] [default] [sims] [rows:2  ] SELECT `ID`,`name`,`user_name`,`phone`,`email` FROM `user`
2024-03-25 16:43:21.441 [DEBU] {4034efe665f5bf176d234e1d42f2bf03} [  1 ms] [default] [sims] [rows:2  ] SELECT `ID`,`name`,`user_name`,`phone`,`email` FROM `user`
2024-03-25 16:43:22.712 [DEBU] {f887923266f5bf1770234e1dbe3af8ff} [  0 ms] [default] [sims] [rows:2  ] SELECT `ID`,`name`,`user_name`,`phone`,`email` FROM `user`
2024-03-25 16:43:23.207 [DEBU] {d0dd325066f5bf1773234e1dbcb8dc41} [  1 ms] [default] [sims] [rows:2  ] SELECT `ID`,`name`,`user_name`,`phone`,`email` FROM `user`
2024-03-25 16:43:23.858 [DEBU] {80ed0a7766f5bf1776234e1dabe256ad} [  0 ms] [default] [sims] [rows:2  ] SELECT `ID`,`name`,`user_name`,`phone`,`email` FROM `user`
